col2020,col2021,fuzz_ratio
"Thinking about your current job, how much of your time did you spend remote working last year?",How strongly do you agree or disagree with the following statements?    - I feel well-prepared to manage employees remotely,38
"Thinking about your current job, how much of your time did you spend remote working last year?",How strongly do you agree or disagree with the following statements?    - Managing people remotely makes me more focused on results,39
"Thinking about your current job, how much of your time did you spend remote working last year?",How strongly do you agree or disagree with the following statements?    - I find it easy to contact my employees when they work remotely,40
"Thinking about your current job, how much of your time did you spend remote working last year?","This question is about your productivity. Productivity means what you produce for each hour that you work. It includes the amount of work you achieve each hour, and the quality of your work each hour.    Please compare your productivity when you work remotely to when you work at your employer’s workplace.    Roughly how productive are you, each hour, when you work remotely?  ",32
"Thinking about your current job, how much of your time did you spend remote working last year?","Now think about the productivity of the employees you manage.   Roughly how productive are the employees you manage, each hour, when they work remotely?  ",44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Response ID,8
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",What year were you born?  ,23
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",What is your gender?  ,21
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","How long have you been in your current job?  If you have more than one job, please answer all questions for your main job.  ",41
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Which of the following best describes your industry?  ,32
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Which of the following best describes your current occupation?  ,36
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How many people are currently employed by your organisation?   ,36
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Which of the following best describes your household?  ,34
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Metro or Regional,17
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about your current job, how much of your work time did you spend working remotely in the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","How much of your work time would you have preferred to work remotely during the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",41
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about your current job, how much of your work time have you spent working remotely this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",48
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","How much of your work time would you have preferred to work remotely so far this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",42
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Imagine that COVID-19 is cured or eradicated.   Going forward, how much of your work time would you prefer to work remotely?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",41
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",These questions are about the remote working arrangements in your organisation.  Has your employer changed or updated their policy on remote work since COVID-19?   This means since February/March 2020  ,46
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","In the past 6 months, have you ever worked part of your day remotely, and part of it at your employer’s workplace?",41
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How often do you work this way?  ,26
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How often would you like to work this way?  ,29
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Does your employer have a policy that workers must be at the employer’s workplace some of the time?  ,40
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","How much of your work time does your employer’s policy require you to be at their workplace?  If you work a 5 day week, 1 day equals 20% of your work time.  ",43
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My employer’s remote working policy suits me",68
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I get to choose how much work I do remotely",71
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I choose which days I work remotely",71
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My direct manager has discretion to allow or deny remote work",67
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How do you feel about your employer’s remote working policy?  ,33
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation encouraged people to work remotely",83
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation was well prepared for me to work remotely",77
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was common for people in my organisation to work remotely",74
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was easy to get permission to work remotely",75
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I could easily collaborate with colleagues when working remotely",72
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - Working remotely reduces my chances of promotion",72
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I take more regular breaks while working remotely",73
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Do you think remote working is a positive or a negative for your employer?  ,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Who is most supportive of remote working in your organisation?  ,39
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - My employer would encourage more remote working,54
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - My employer would make changes to support remote working,52
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - I would have more choice about whether I work remotely,53
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Preparing for work and commuting",42
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Working",43
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Caring and domestic responsibilities",42
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Personal and family time",43
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Sleep",44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Preparing for work and commuting",43
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Working",45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Caring and domestic responsibilities",43
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Personal and family time",44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Sleep",45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Imagine your employer offered you the option to work remotely whenever you chose, in return for negotiating a pay cut that you both agree on.  Would you be interested in negotiating?   ",40
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",What is the biggest pay cut you would accept?   Please give your answer as a percentage.  ,38
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My caring responsibilities,46
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Connectivity (for example internet),47
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My organisation's software and systems,51
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Difficulty collaborating remotely,48
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Poor management,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - IT equipment (computer or printer),45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Feeling left out and/or isolated,46
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Extra costs,43
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Cyber security,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - I have tasks that can't be done remotely,49
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My workspace (e.g. suitable chair, lighting, noise levels, facilities)",44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Motivation,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Management discourages remote working,50
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My living situation (e.g. location, home size, who I live with)",47
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Lack of remote working skills,46
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My health and safety when working remotely,51
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Difficulty collaborating with remote colleagues ; Lack of privacy,46
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Difficulty collaborating with remote colleagues ; Lack of privacy,46
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Lack of privacy,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Lack of privacy,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty innovating,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty innovating,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Connectivity/internet issues ; Difficulty collaborating with remote colleagues ; Difficulty innovating ; Lack of privacy,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Connectivity/internet issues ; Difficulty collaborating with remote colleagues ; Difficulty innovating ; Lack of privacy,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Connectivity/internet issues ; Difficulty innovating,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Connectivity/internet issues ; Difficulty innovating,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Lack of appropriate work and meeting spaces ; Difficulty innovating ; Lack of privacy,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Lack of appropriate work and meeting spaces ; Difficulty innovating ; Lack of privacy,46
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Problems with audio-visual setup ; Difficulty innovating ; Lack of privacy,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Problems with audio-visual setup ; Difficulty innovating ; Lack of privacy,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,43
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Problems with audio-visual setup ; Lack of privacy,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Problems with audio-visual setup ; Lack of privacy,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues ; Lack of privacy,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues ; Lack of privacy,45
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,44
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?   - On days when I work remotely I feel better,66
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?   - On days when I work remotely I am more active,65
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?   - I feel better on days when I see my colleagues in person,60
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Do you manage people as part of your current job?  ,30
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",Do employees you manage ever work remotely?  ,35
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?    - I have discretion to offer or deny remote work to employees I manage,64
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,64
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?    - Offering remote work helps me to recruit employees,64
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?    - My team works well together when they work remotely,69
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?    - I find it easy to manage employees remotely (e.g. tasking and monitoring progress),60
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?    - I find it easy to manage poor performers remotely,68
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?    - I feel well-prepared to manage employees remotely,66
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?    - Managing people remotely makes me more focused on results,64
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",How strongly do you agree or disagree with the following statements?    - I find it easy to contact my employees when they work remotely,68
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","This question is about your productivity. Productivity means what you produce for each hour that you work. It includes the amount of work you achieve each hour, and the quality of your work each hour.    Please compare your productivity when you work remotely to when you work at your employer’s workplace.    Roughly how productive are you, each hour, when you work remotely?  ",40
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Now think about the productivity of the employees you manage.   Roughly how productive are the employees you manage, each hour, when they work remotely?  ",51
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",Response ID,8
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",What year were you born?  ,23
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",What is your gender?  ,20
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely","How long have you been in your current job?  If you have more than one job, please answer all questions for your main job.  ",42
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",Which of the following best describes your industry?  ,31
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",Which of the following best describes your current occupation?  ,33
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",How many people are currently employed by your organisation?   ,35
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",Which of the following best describes your household?  ,32
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",Metro or Regional,16
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely","Thinking about your current job, how much of your work time did you spend working remotely in the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",46
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely","How much of your work time would you have preferred to work remotely during the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",42
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely","Thinking about your current job, how much of your work time have you spent working remotely this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",49
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely","How much of your work time would you have preferred to work remotely so far this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",43
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely","Imagine that COVID-19 is cured or eradicated.   Going forward, how much of your work time would you prefer to work remotely?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",43
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",These questions are about the remote working arrangements in your organisation.  Has your employer changed or updated their policy on remote work since COVID-19?   This means since February/March 2020  ,46
